,W,visit_win,Avg_Score
Golden State Warriors,67,28,109
Atlanta Hawks,60,25,102
LA Clippers,56,26,106
Houston Rockets,56,26,103
Memphis Grizzlies,55,24,98
San Antonio Spurs,55,22,103
Cleveland Cavaliers,53,22,103
Portland Trail Blazers,51,19,102
Dallas Mavericks,50,23,105
Chicago Bulls,50,23,100
Toronto Raptors,49,22,103
Washington Wizards,46,17,98
New Orleans Pelicans,45,17,99
Oklahoma City Thunder,45,16,103
Milwaukee Bucks,41,18,97
Boston Celtics,40,19,101
Phoenix Suns,39,17,102
Brooklyn Nets,38,19,98
Utah Jazz,38,17,95
Indiana Pacers,38,15,97
Miami Heat,37,17,94
Charlotte Hornets,33,14,94
Detroit Pistons,32,14,98
Denver Nuggets,30,11,101
Sacramento Kings,29,11,101
Orlando Magic,25,12,95
Los Angeles Lakers,21,9,98
Philadelphia 76ers,18,6,91
New York Knicks,17,7,91
Minnesota Timberwolves,16,7,97
