0,Atlanta Hawks
1,Cleveland Cavaliers
2,San Antonio Spurs
3,LA Clippers
4,Oklahoma City Thunder
5,Boston Celtics
6,Indiana Pacers
7,Golden State Warriors
8,Utah Jazz
9,Milwaukee Bucks
10,Houston Rockets
11,Washington Wizards
12,Portland Trail Blazers
13,Detroit Pistons
14,Dallas Mavericks
15,New Orleans Pelicans
16,Brooklyn Nets
17,Memphis Grizzlies
18,Denver Nuggets
19,Charlotte Hornets
20,Chicago Bulls
21,Philadelphia 76ers
22,Orlando Magic
23,Los Angeles Lakers
24,New York Knicks
25,Phoenix Suns
26,Sacramento Kings
27,Miami Heat
28,Toronto Raptors
29,Minnesota Timberwolves
