0,Portland Trail Blazers
1,LA Clippers
2,Washington Wizards
3,Oklahoma City Thunder
4,Chicago Bulls
5,Toronto Raptors
6,Brooklyn Nets
7,Memphis Grizzlies
8,New York Knicks
9,San Antonio Spurs
10,Miami Heat
11,Charlotte Hornets
12,Denver Nuggets
13,New Orleans Pelicans
14,Sacramento Kings
15,Phoenix Suns
16,Utah Jazz
17,Cleveland Cavaliers
18,Dallas Mavericks
19,Houston Rockets
20,Detroit Pistons
21,Atlanta Hawks
22,Golden State Warriors
23,Los Angeles Lakers
24,Boston Celtics
25,Minnesota Timberwolves
26,Orlando Magic
27,Philadelphia 76ers
28,Indiana Pacers
29,Milwaukee Bucks
