match_id,date,home_team,visit_team,home_score,visit_score
400488879,2014-10-30 00:00:00,Toronto Raptors,Boston Celtics,93,87
400488897,2014-11-01 00:00:00,Boston Celtics,Milwaukee Bucks,98,105
400488914,2014-11-03 00:00:00,Detroit Pistons,Boston Celtics,87,77
400488922,2014-11-04 00:00:00,Memphis Grizzlies,Boston Celtics,95,88
400488937,2014-11-06 00:00:00,Boston Celtics,Utah Jazz,97,87
400488948,2014-11-08 00:00:00,Orlando Magic,Boston Celtics,89,91
400488962,2014-11-09 00:00:00,Miami Heat,Boston Celtics,110,111
400488974,2014-11-11 00:00:00,Boston Celtics,Orlando Magic,120,105
400488986,2014-11-13 00:00:00,Boston Celtics,Charlotte Hornets,83,89
400489001,2014-11-15 00:00:00,Boston Celtics,Portland Trail Blazers,96,109
400489015,2014-11-16 00:00:00,Minnesota Timberwolves,Boston Celtics,106,88
400489032,2014-11-19 00:00:00,Houston Rockets,Boston Celtics,109,85
400489043,2014-11-20 00:00:00,San Antonio Spurs,Boston Celtics,104,93
400489052,2014-11-22 00:00:00,Boston Celtics,Indiana Pacers,82,97
400489063,2014-11-23 00:00:00,Atlanta Hawks,Boston Celtics,87,94
400489075,2014-11-25 00:00:00,Charlotte Hornets,Boston Celtics,86,96
400489090,2014-11-27 00:00:00,Boston Celtics,Memphis Grizzlies,93,100
400489105,2014-11-29 00:00:00,Boston Celtics,Cleveland Cavaliers,103,86
400489120,2014-11-30 00:00:00,Milwaukee Bucks,Boston Celtics,92,85
400489135,2014-12-03 00:00:00,Boston Celtics,Milwaukee Bucks,108,100
400489156,2014-12-06 00:00:00,Boston Celtics,Denver Nuggets,106,98
400489172,2014-12-08 00:00:00,New York Knicks,Boston Celtics,73,114
400489187,2014-12-10 00:00:00,Brooklyn Nets,Boston Celtics,104,96
400489192,2014-12-11 00:00:00,Boston Celtics,LA Clippers,88,96
400489206,2014-12-13 00:00:00,Boston Celtics,New York Knicks,90,86
400489231,2014-12-16 00:00:00,Boston Celtics,Minnesota Timberwolves,101,97
400489246,2014-12-18 00:00:00,Boston Celtics,Detroit Pistons,106,107
400489266,2014-12-21 00:00:00,Boston Celtics,Washington Wizards,99,106
400489277,2014-12-22 00:00:00,Indiana Pacers,Boston Celtics,106,79
400489309,2014-12-28 00:00:00,Boston Celtics,Cleveland Cavaliers,103,100
400489333,2014-12-31 00:00:00,Boston Celtics,Atlanta Hawks,91,92
400489348,2015-01-02 00:00:00,Chicago Bulls,Boston Celtics,94,82
400489357,2015-01-03 00:00:00,Boston Celtics,New Orleans Pelicans,92,95
400489375,2015-01-05 00:00:00,Oklahoma City Thunder,Boston Celtics,119,96
400489390,2015-01-07 00:00:00,Denver Nuggets,Boston Celtics,129,98
400489401,2015-01-08 00:00:00,LA Clippers,Boston Celtics,111,105
400489414,2015-01-10 00:00:00,Golden State Warriors,Boston Celtics,99,97
400489424,2015-01-11 00:00:00,Portland Trail Blazers,Boston Celtics,112,104
400489429,2015-01-13 00:00:00,Boston Celtics,Houston Rockets,92,104
400489442,2015-01-15 00:00:00,Boston Celtics,Toronto Raptors,88,83
400489459,2015-01-17 00:00:00,Boston Celtics,Los Angeles Lakers,104,107
400489475,2015-01-19 00:00:00,Orlando Magic,Boston Celtics,93,91
400489490,2015-01-21 00:00:00,Miami Heat,Boston Celtics,93,86
400489498,2015-01-22 00:00:00,Washington Wizards,Boston Celtics,111 OT,113
400489509,2015-01-24 00:00:00,Boston Celtics,Oklahoma City Thunder,83,101
400489531,2015-01-26 00:00:00,Boston Celtics,Brooklyn Nets,79,85
400489543,2015-01-28 00:00:00,New York Knicks,Boston Celtics,114,88
400489551,2015-01-29 00:00:00,Boston Celtics,Philadelphia 76ers,94,95
400489582,2015-02-02 00:00:00,Boston Celtics,Orlando Magic,96,89
400489599,2015-02-05 00:00:00,Philadelphia 76ers,Boston Celtics,108,114
400489616,2015-02-07 00:00:00,Boston Celtics,Sacramento Kings,99,89
400489631,2015-02-09 00:00:00,Boston Celtics,Dallas Mavericks,91,102
400489640,2015-02-10 00:00:00,Milwaukee Bucks,Boston Celtics,86,102
400489653,2015-02-12 00:00:00,Boston Celtics,San Antonio Spurs,92,104
400489680,2015-02-19 00:00:00,Phoenix Suns,Boston Celtics,100,94
400489697,2015-02-21 00:00:00,Los Angeles Lakers,Boston Celtics,101,92
400489704,2015-02-22 00:00:00,Sacramento Kings,Boston Celtics,105,98
400489718,2015-02-24 00:00:00,Utah Jazz,Boston Celtics,110,98
400489727,2015-02-26 00:00:00,Boston Celtics,Atlanta Hawks,115,104
400489750,2015-03-01 00:00:00,Boston Celtics,Indiana Pacers,97,102
400489780,2015-03-05 00:00:00,Boston Celtics,Golden State Warriors,88,108
400489793,2015-03-07 00:00:00,Boston Celtics,Brooklyn Nets,91,84
400489810,2015-03-09 00:00:00,Boston Celtics,Detroit Pistons,118,111
400489823,2015-03-11 00:00:00,Indiana Pacers,Boston Celtics,94,83
400489835,2015-03-12 00:00:00,Boston Celtics,New York Knicks,92,116
400489848,2015-03-14 00:00:00,Boston Celtics,Phoenix Suns,80,87
400489863,2015-03-16 00:00:00,New Orleans Pelicans,Boston Celtics,121,120 OT
400489874,2015-03-17 00:00:00,Dallas Mavericks,Boston Celtics,94,89
400489882,2015-03-19 00:00:00,Boston Celtics,Miami Heat,101,96
400489899,2015-03-21 00:00:00,Brooklyn Nets,Boston Celtics,114,98
400489936,2015-03-26 00:00:00,Boston Celtics,Toronto Raptors,90,99
400489949,2015-03-28 00:00:00,Toronto Raptors,Boston Celtics,105,103
400489970,2015-03-30 00:00:00,Boston Celtics,Chicago Bulls,102,107
400489979,2015-03-31 00:00:00,Chicago Bulls,Boston Celtics,94,80
400489992,2015-04-02 00:00:00,Washington Wizards,Boston Celtics,118,92
400490006,2015-04-04 00:00:00,Boston Celtics,Philadelphia 76ers,102,111
400490019,2015-04-05 00:00:00,Detroit Pistons,Boston Celtics,115,111
400490039,2015-04-09 00:00:00,Atlanta Hawks,Boston Celtics,105,97
400490051,2015-04-11 00:00:00,Boston Celtics,Charlotte Hornets,106,103
400490066,2015-04-12 00:00:00,Cleveland Cavaliers,Boston Celtics,99,111
400490077,2015-04-14 00:00:00,Philadelphia 76ers,Boston Celtics,113,108
400490095,2015-04-16 00:00:00,Boston Celtics,Washington Wizards,102,118
400488877,2014-10-30 00:00:00,Cleveland Cavaliers,Brooklyn Nets,98,94
400488901,2014-11-01 00:00:00,Brooklyn Nets,Miami Heat,101,100
400488916,2014-11-03 00:00:00,Orlando Magic,Brooklyn Nets,107,86
400488925,2014-11-05 00:00:00,Brooklyn Nets,Utah Jazz,104,88
400488950,2014-11-08 00:00:00,Washington Wizards,Brooklyn Nets,112,108 OT
400488960,2014-11-09 00:00:00,Brooklyn Nets,Indiana Pacers,91,96
400488994,2014-11-13 00:00:00,Sacramento Kings,Brooklyn Nets,107,86
400489005,2014-11-15 00:00:00,Phoenix Suns,Brooklyn Nets,98 OT,100
400489019,2014-11-16 00:00:00,LA Clippers,Brooklyn Nets,110,103
400489023,2014-11-18 00:00:00,Brooklyn Nets,Portland Trail Blazers,98,108
400489034,2014-11-20 00:00:00,Charlotte Hornets,Brooklyn Nets,95,91
400489055,2014-11-22 00:00:00,Minnesota Timberwolves,Brooklyn Nets,111,81
400489070,2014-11-24 00:00:00,Brooklyn Nets,Detroit Pistons,97,109
400489084,2014-11-26 00:00:00,Toronto Raptors,Brooklyn Nets,100,102
400489091,2014-11-27 00:00:00,Brooklyn Nets,Los Angeles Lakers,94,99
400489107,2014-11-29 00:00:00,Houston Rockets,Brooklyn Nets,114,95
400489116,2014-11-30 00:00:00,Memphis Grizzlies,Brooklyn Nets,88,97
400489136,2014-12-03 00:00:00,Brooklyn Nets,Denver Nuggets,87,111
400489150,2014-12-05 00:00:00,Brooklyn Nets,New York Knicks,83,113
400489168,2014-12-07 00:00:00,Milwaukee Bucks,Brooklyn Nets,82,90
400489200,2014-12-12 00:00:00,Brooklyn Nets,LA Clippers,102,93
400489207,2014-12-13 00:00:00,Detroit Pistons,Brooklyn Nets,103,99
400489232,2014-12-16 00:00:00,Brooklyn Nets,Philadelphia 76ers,130,94
400489247,2014-12-18 00:00:00,Brooklyn Nets,Washington Wizards,107,113
400489256,2014-12-20 00:00:00,Philadelphia 76ers,Brooklyn Nets,121,120 OT
400489283,2014-12-23 00:00:00,Brooklyn Nets,Indiana Pacers,86,103
400489291,2014-12-25 00:00:00,Brooklyn Nets,Chicago Bulls,78,95
400489302,2014-12-27 00:00:00,Brooklyn Nets,Milwaukee Bucks,104,93
400489310,2014-12-28 00:00:00,Indiana Pacers,Brooklyn Nets,105,91
400489338,2014-12-31 00:00:00,San Antonio Spurs,Brooklyn Nets,113,92
400489349,2015-01-02 00:00:00,Oklahoma City Thunder,Brooklyn Nets,93,95
400489364,2015-01-04 00:00:00,Brooklyn Nets,Cleveland Cavaliers,89,82
400489379,2015-01-06 00:00:00,Brooklyn Nets,Atlanta Hawks,91,86
400489396,2015-01-08 00:00:00,Brooklyn Nets,Golden State Warriors,102,98
400489410,2015-01-10 00:00:00,Brooklyn Nets,Miami Heat,104,95 2OT
400489416,2015-01-11 00:00:00,Toronto Raptors,Brooklyn Nets,96,80
400489452,2015-01-16 00:00:00,Atlanta Hawks,Brooklyn Nets,110,127
400489483,2015-01-20 00:00:00,New York Knicks,Brooklyn Nets,80,103
400489489,2015-01-21 00:00:00,Brooklyn Nets,Orlando Magic,101,90
400489510,2015-01-24 00:00:00,Brooklyn Nets,Dallas Mavericks,107,106
400489536,2015-01-27 00:00:00,Brooklyn Nets,Toronto Raptors,103,104
400489565,2015-01-31 00:00:00,Brooklyn Nets,Oklahoma City Thunder,95,120
400489570,2015-02-01 00:00:00,Indiana Pacers,Brooklyn Nets,97,96
400489585,2015-02-03 00:00:00,Brooklyn Nets,Philadelphia 76ers,108,102
400489610,2015-02-06 00:00:00,Brooklyn Nets,San Antonio Spurs,103,89
400489617,2015-02-07 00:00:00,Detroit Pistons,Brooklyn Nets,111,95
400489632,2015-02-09 00:00:00,Brooklyn Nets,New Orleans Pelicans,93,81
400489654,2015-02-12 00:00:00,Brooklyn Nets,Charlotte Hornets,105,89
400489663,2015-02-13 00:00:00,Chicago Bulls,Brooklyn Nets,92,76
400489681,2015-02-19 00:00:00,Utah Jazz,Brooklyn Nets,99,105
400489705,2015-02-22 00:00:00,Golden State Warriors,Brooklyn Nets,93,86
400489712,2015-02-23 00:00:00,Los Angeles Lakers,Brooklyn Nets,102,108
400489734,2015-02-26 00:00:00,Portland Trail Blazers,Brooklyn Nets,124,80
400489739,2015-02-27 00:00:00,Denver Nuggets,Brooklyn Nets,89,112
400489751,2015-03-01 00:00:00,Milwaukee Bucks,Brooklyn Nets,98,107
400489764,2015-03-03 00:00:00,Brooklyn Nets,Chicago Bulls,96,80
400489781,2015-03-05 00:00:00,Brooklyn Nets,Memphis Grizzlies,103,94
400489811,2015-03-09 00:00:00,Brooklyn Nets,Sacramento Kings,104,89
400489817,2015-03-10 00:00:00,Brooklyn Nets,Toronto Raptors,101,97
400489830,2015-03-12 00:00:00,Miami Heat,Brooklyn Nets,95,96
400489855,2015-03-15 00:00:00,Washington Wizards,Brooklyn Nets,101,94
400489871,2015-03-17 00:00:00,Brooklyn Nets,Phoenix Suns,108,95
400489883,2015-03-19 00:00:00,Brooklyn Nets,Charlotte Hornets,104,99
400489917,2015-03-23 00:00:00,Dallas Mavericks,Brooklyn Nets,104 OT,107
400489925,2015-03-24 00:00:00,New Orleans Pelicans,Brooklyn Nets,109,104 OT
400489934,2015-03-26 00:00:00,Charlotte Hornets,Brooklyn Nets,116,111 OT
400489951,2015-03-28 00:00:00,Brooklyn Nets,Cleveland Cavaliers,108,97
400489968,2015-03-30 00:00:00,Brooklyn Nets,Minnesota Timberwolves,114,99
400489984,2015-04-01 00:00:00,Brooklyn Nets,Houston Rockets,105,96
400489988,2015-04-02 00:00:00,New York Knicks,Brooklyn Nets,110,81
400490007,2015-04-04 00:00:00,Brooklyn Nets,Detroit Pistons,116,104
400490020,2015-04-05 00:00:00,Philadelphia 76ers,Brooklyn Nets,101,105
400490031,2015-04-08 00:00:00,Miami Heat,Brooklyn Nets,87,88
400490036,2015-04-09 00:00:00,Orlando Magic,Brooklyn Nets,115,111
400490052,2015-04-11 00:00:00,Brooklyn Nets,Atlanta Hawks,88,93
400490072,2015-04-13 00:00:00,Brooklyn Nets,Orlando Magic,97,88
400490087,2015-04-15 00:00:00,Brooklyn Nets,New York Knicks,98,109
400490097,2015-04-16 00:00:00,Cleveland Cavaliers,Brooklyn Nets,114,85
400488881,2014-10-30 00:00:00,New York Knicks,Milwaukee Bucks,90,83
400488891,2014-10-31 00:00:00,Chicago Bulls,New York Knicks,82,81
400488918,2014-11-03 00:00:00,New York Knicks,Minnesota Timberwolves,100,109
400488927,2014-11-05 00:00:00,New York Knicks,Charlotte Hornets,97,102
400488946,2014-11-08 00:00:00,Charlotte Hornets,New York Knicks,91,101
400488967,2014-11-10 00:00:00,New York Knicks,San Antonio Spurs,89,120
400488989,2014-11-13 00:00:00,Atlanta Hawks,New York Knicks,91,95
400488996,2014-11-14 00:00:00,New York Knicks,Houston Rockets,106,109
400489012,2014-11-16 00:00:00,New York Knicks,Atlanta Hawks,90,110
400489030,2014-11-19 00:00:00,Detroit Pistons,New York Knicks,92,86
400489036,2014-11-20 00:00:00,New York Knicks,Indiana Pacers,96 OT,103
400489062,2014-11-23 00:00:00,Washington Wizards,New York Knicks,98,89
400489083,2014-11-25 00:00:00,Portland Trail Blazers,New York Knicks,102,91
400489100,2014-11-27 00:00:00,LA Clippers,New York Knicks,93,80
400489111,2014-11-29 00:00:00,Denver Nuggets,New York Knicks,97,95
400489127,2014-12-01 00:00:00,New York Knicks,New Orleans Pelicans,99,103
400489157,2014-12-06 00:00:00,New York Knicks,Orlando Magic,121,83
400489183,2014-12-10 00:00:00,Cleveland Cavaliers,New York Knicks,109,94
400489197,2014-12-11 00:00:00,New York Knicks,Chicago Bulls,83,78
400489218,2014-12-14 00:00:00,New York Knicks,Atlanta Hawks,111,106
400489234,2014-12-16 00:00:00,New York Knicks,Washington Wizards,101,102
400489248,2014-12-18 00:00:00,Milwaukee Bucks,New York Knicks,101 2OT,107
400489265,2014-12-21 00:00:00,New York Knicks,Memphis Grizzlies,87,95
400489282,2014-12-23 00:00:00,Orlando Magic,New York Knicks,98,103
400489292,2014-12-25 00:00:00,New York Knicks,Oklahoma City Thunder,94,123
400489303,2014-12-27 00:00:00,New York Knicks,Toronto Raptors,83,95
400489311,2014-12-28 00:00:00,Toronto Raptors,New York Knicks,115,100
400489350,2015-01-02 00:00:00,San Antonio Spurs,New York Knicks,101,105
400489358,2015-01-03 00:00:00,Houston Rockets,New York Knicks,102,100
400489376,2015-01-05 00:00:00,Dallas Mavericks,New York Knicks,80,92
400489385,2015-01-07 00:00:00,New York Knicks,Detroit Pistons,89,85
400489402,2015-01-09 00:00:00,New York Knicks,Miami Heat,102,92
400489419,2015-01-11 00:00:00,Philadelphia 76ers,New York Knicks,92,102
400489430,2015-01-13 00:00:00,New York Knicks,Phoenix Suns,98,96 OT
400489435,2015-01-14 00:00:00,Charlotte Hornets,New York Knicks,108,98
400489451,2015-01-16 00:00:00,Indiana Pacers,New York Knicks,117,89
400489454,2015-01-17 00:00:00,New York Knicks,LA Clippers,95,109
400489499,2015-01-22 00:00:00,New York Knicks,Philadelphia 76ers,106,110
400489513,2015-01-24 00:00:00,New York Knicks,Charlotte Hornets,125,96
400489528,2015-01-26 00:00:00,New York Knicks,Los Angeles Lakers,110,103
400489560,2015-01-30 00:00:00,New York Knicks,Cleveland Cavaliers,117,86
400489578,2015-02-01 00:00:00,New York Knicks,Miami Heat,91,106
400489587,2015-02-03 00:00:00,Milwaukee Bucks,New York Knicks,101,98
400489601,2015-02-05 00:00:00,New York Knicks,Portland Trail Blazers,90,94
400489618,2015-02-07 00:00:00,New York Knicks,Denver Nuggets,117,90
400489629,2015-02-09 00:00:00,Oklahoma City Thunder,New York Knicks,112,100
400489656,2015-02-12 00:00:00,New York Knicks,Sacramento Kings,101 OT,106
400489669,2015-02-18 00:00:00,Memphis Grizzlies,New York Knicks,98,93
400489679,2015-02-19 00:00:00,New Orleans Pelicans,New York Knicks,91,98
400489689,2015-02-21 00:00:00,Orlando Magic,New York Knicks,129,121 2OT
400489700,2015-02-22 00:00:00,Atlanta Hawks,New York Knicks,107,98
400489716,2015-02-24 00:00:00,New York Knicks,Dallas Mavericks,108,110
400489738,2015-02-27 00:00:00,Miami Heat,New York Knicks,108,82
400489742,2015-02-28 00:00:00,New York Knicks,Golden State Warriors,103,126
400489756,2015-03-02 00:00:00,Chicago Bulls,New York Knicks,109,90
400489765,2015-03-03 00:00:00,Detroit Pistons,New York Knicks,96,85
400489784,2015-03-05 00:00:00,Minnesota Timberwolves,New York Knicks,106,118
400489794,2015-03-07 00:00:00,New York Knicks,Utah Jazz,108,81
400489801,2015-03-08 00:00:00,Cleveland Cavaliers,New York Knicks,97,107
400489819,2015-03-10 00:00:00,New York Knicks,Philadelphia 76ers,123,110
400489854,2015-03-15 00:00:00,New York Knicks,Milwaukee Bucks,115,94
400489886,2015-03-19 00:00:00,New York Knicks,Indiana Pacers,92,86
400489896,2015-03-21 00:00:00,Philadelphia 76ers,New York Knicks,92,93
400489918,2015-03-23 00:00:00,New York Knicks,Cleveland Cavaliers,100,106
400489933,2015-03-25 00:00:00,Los Angeles Lakers,New York Knicks,127,96
400489942,2015-03-26 00:00:00,Sacramento Kings,New York Knicks,99,107
400489958,2015-03-28 00:00:00,Phoenix Suns,New York Knicks,112,88
400489971,2015-03-30 00:00:00,Golden State Warriors,New York Knicks,84,89
400489983,2015-03-31 00:00:00,Utah Jazz,New York Knicks,83,92
400490009,2015-04-04 00:00:00,New York Knicks,Washington Wizards,89,90
400490022,2015-04-06 00:00:00,Miami Heat,New York Knicks,102,91
400490050,2015-04-11 00:00:00,Toronto Raptors,New York Knicks,100,108
400490070,2015-04-13 00:00:00,New York Knicks,Chicago Bulls,100,89
400490099,2015-04-16 00:00:00,New York Knicks,Toronto Raptors,95,92
400488878,2014-10-30 00:00:00,Philadelphia 76ers,Miami Heat,114,110
400488895,2014-11-01 00:00:00,Washington Wizards,Philadelphia 76ers,102,109
400488907,2014-11-02 00:00:00,Philadelphia 76ers,Chicago Bulls,107,104
400488921,2014-11-04 00:00:00,Philadelphia 76ers,Golden State Warriors,90,110
400488936,2014-11-06 00:00:00,Philadelphia 76ers,Washington Wizards,102,116
400488949,2014-11-08 00:00:00,Philadelphia 76ers,Cleveland Cavaliers,94,79
400488961,2014-11-09 00:00:00,Cleveland Cavaliers,Philadelphia 76ers,127,125 2OT
400488973,2014-11-11 00:00:00,Philadelphia 76ers,San Antonio Spurs,85,109
400488985,2014-11-13 00:00:00,Philadelphia 76ers,Houston Rockets,123,117 OT
400489000,2014-11-15 00:00:00,Atlanta Hawks,Philadelphia 76ers,113,103
400489016,2014-11-16 00:00:00,New Orleans Pelicans,Philadelphia 76ers,135,98
400489026,2014-11-18 00:00:00,Dallas Mavericks,Philadelphia 76ers,97,94
400489038,2014-11-20 00:00:00,Philadelphia 76ers,Toronto Raptors,98,108
400489050,2014-11-22 00:00:00,Philadelphia 76ers,Milwaukee Bucks,115,107 OT
400489061,2014-11-23 00:00:00,Indiana Pacers,Philadelphia 76ers,106,98
400489089,2014-11-27 00:00:00,Orlando Magic,Philadelphia 76ers,105,94
400489110,2014-11-29 00:00:00,Philadelphia 76ers,New Orleans Pelicans,105,121
400489123,2014-12-01 00:00:00,Detroit Pistons,Philadelphia 76ers,115,100
400489134,2014-12-03 00:00:00,Philadelphia 76ers,Orlando Magic,126,125 2OT
400489153,2014-12-06 00:00:00,Charlotte Hornets,Philadelphia 76ers,105,88
400489163,2014-12-07 00:00:00,Philadelphia 76ers,Denver Nuggets,92,103
400489178,2014-12-09 00:00:00,Philadelphia 76ers,LA Clippers,83,94
400489195,2014-12-11 00:00:00,Minnesota Timberwolves,Philadelphia 76ers,106,99
400489204,2014-12-13 00:00:00,Toronto Raptors,Philadelphia 76ers,108,100
400489220,2014-12-14 00:00:00,Philadelphia 76ers,Portland Trail Blazers,105,139
400489271,2014-12-21 00:00:00,Milwaukee Bucks,Philadelphia 76ers,116,106
400489318,2014-12-28 00:00:00,Phoenix Suns,Philadelphia 76ers,115,101
400489325,2014-12-29 00:00:00,Los Angeles Lakers,Philadelphia 76ers,104,111
400489344,2015-01-01 00:00:00,Denver Nuggets,Philadelphia 76ers,102,114
400489354,2015-01-02 00:00:00,Sacramento Kings,Philadelphia 76ers,104,113
400489369,2015-01-04 00:00:00,Portland Trail Blazers,Philadelphia 76ers,99,101
400489378,2015-01-06 00:00:00,Philadelphia 76ers,Minnesota Timberwolves,95,126
400489382,2015-01-07 00:00:00,Cleveland Cavaliers,Philadelphia 76ers,111,93
400489405,2015-01-10 00:00:00,Philadelphia 76ers,Detroit Pistons,104,114
400489440,2015-01-15 00:00:00,Philadelphia 76ers,Charlotte Hornets,95,92
400489456,2015-01-17 00:00:00,Philadelphia 76ers,Miami Heat,86,101
400489469,2015-01-18 00:00:00,Chicago Bulls,Philadelphia 76ers,103,78
400489482,2015-01-20 00:00:00,Washington Wizards,Philadelphia 76ers,107,99
400489507,2015-01-24 00:00:00,Philadelphia 76ers,Toronto Raptors,95,104
400489521,2015-01-25 00:00:00,Philadelphia 76ers,Oklahoma City Thunder,91,103
400489535,2015-01-27 00:00:00,Philadelphia 76ers,Phoenix Suns,113,124
400489563,2015-01-31 00:00:00,Philadelphia 76ers,Atlanta Hawks,99,125
400489573,2015-02-01 00:00:00,Detroit Pistons,Philadelphia 76ers,113,96
400489614,2015-02-07 00:00:00,Philadelphia 76ers,Los Angeles Lakers,98,112
400489636,2015-02-09 00:00:00,LA Clippers,Philadelphia 76ers,123,78
400489642,2015-02-10 00:00:00,Golden State Warriors,Philadelphia 76ers,123,80
400489660,2015-02-12 00:00:00,Utah Jazz,Philadelphia 76ers,105,100
400489666,2015-02-18 00:00:00,Philadelphia 76ers,Cleveland Cavaliers,85,114
400489690,2015-02-21 00:00:00,Philadelphia 76ers,Dallas Mavericks,112,124
400489714,2015-02-24 00:00:00,Philadelphia 76ers,Milwaukee Bucks,110,130
400489726,2015-02-26 00:00:00,Philadelphia 76ers,Orlando Magic,90,101
400489748,2015-03-01 00:00:00,Philadelphia 76ers,Washington Wizards,103,122
400489759,2015-03-02 00:00:00,Orlando Magic,Philadelphia 76ers,92,81
400489774,2015-03-04 00:00:00,Oklahoma City Thunder,Philadelphia 76ers,125,92
400489802,2015-03-08 00:00:00,Philadelphia 76ers,Utah Jazz,92,104
400489832,2015-03-12 00:00:00,Philadelphia 76ers,Sacramento Kings,98,115
400489846,2015-03-14 00:00:00,Philadelphia 76ers,Indiana Pacers,94,101
400489858,2015-03-15 00:00:00,Philadelphia 76ers,Memphis Grizzlies,77,103
400489870,2015-03-17 00:00:00,Indiana Pacers,Philadelphia 76ers,99,90
400489881,2015-03-19 00:00:00,Philadelphia 76ers,Chicago Bulls,94,102
400489907,2015-03-22 00:00:00,Chicago Bulls,Philadelphia 76ers,91,81
400489927,2015-03-24 00:00:00,San Antonio Spurs,Philadelphia 76ers,113,91
400489945,2015-03-27 00:00:00,Houston Rockets,Philadelphia 76ers,120,98
400489960,2015-03-29 00:00:00,Philadelphia 76ers,Detroit Pistons,123,98
400489976,2015-03-31 00:00:00,Atlanta Hawks,Philadelphia 76ers,103,95
400489990,2015-04-02 00:00:00,Philadelphia 76ers,Charlotte Hornets,93,123
400490037,2015-04-09 00:00:00,Toronto Raptors,Philadelphia 76ers,125,114
400490055,2015-04-11 00:00:00,Memphis Grizzlies,Philadelphia 76ers,117,95
